#;title_es;title_en;description_es;description_en;text_es;text_en;Tipo;link_es;repository_link;date
1;SIGATOKA;SIGATOKA;;;;;Herramienta ;;https://github.com/CIAT-DAPA/aeps_Sigatoka;dec 11 2018
2;PROYECTO AEPS;PROJECT AEPS;;;;;Plataforma ;;https://github.com/CIAT-DAPA/aeps_project-aeps;nov 8 2017
3;PLATAFORMA VISUALIZATIONS;PLATFORM VISUALIZATIONS;;;;;Plataforma ;;https://github.com/CIAT-DAPA/aeps_platform_visualizations;feb 5 2020
4;PLATAFORMA FORMS;PLATFORM FORMS;;;;;Plataforma ;;https://github.com/CIAT-DAPA/aeps_platform_forms;jul 3 2020
5;PLATAFORMA DOCS;PLATFORM DOCS;;;;;Plataforma ;;https://github.com/CIAT-DAPA/aeps_platform_docs;feb 3 2020
6;PLATAFORMA DOCKER;PLATFORM DOCKER;;;;;Plataforma ;;https://github.com/CIAT-DAPA/aeps_platform_docker;jul 20 2020
7;PLATAFORMA CROP SATELLITE BASED MONITORING;PLATFORM CROP SATELLITE BASED MONITORING;;;;;Plataforma ;;https://github.com/CIAT-DAPA/aeps_platform_crop_satellite-based_monitoring;oct 13 2020
8;AEPS PLATAFORMA API AUTH;AEPS API AUTH PLATFORM;;;;;Plataforma ;;https://github.com/CIAT-DAPA/aeps_platform_api_auth;oct 13 2020
9;U SAID COFFEE;U SAID COFFEE;;;;;Herramienta ;;https://github.com/CIAT-DAPA/usaid_coffee;sep 29 2017
10;TNC HONDURAS;TNC HONDURAS;This is a example of RASTER;This is a example of RASTER;;;Herramienta ;;https://github.com/CIAT-DAPA/aeps_tnc_honduras;mar 16 2018
11;METODOS DE REGRESIÓN AEPS;AEPS REGRESSION METHODS;Metodos de análisis para datos multivariados en agricultura;Analysis methods for multivariate data in agriculture;;;Herramienta ;;https://github.com/CIAT-DAPA/aeps_Regression-Methods-AEPS;oct 11 2018
12;GEENSATELLITEAPP;GEENSATELLITEAPP;Monitoreo basado en satélites de cultivos de plataforma, este proyecto fue generado con la versión 9.1.7 de Angular CLI .;Platform crop satellite based monitoring, This project was generated with Angular CLI;;;Herramienta ;;https://github.com/CIAT-DAPA/aeps_platform_crop_satellite-based_monitoring;Oct 13 2020
13;TALLER MINERIA DE DATOS EN AGRICULTURA LIMA 2019;DATA MINING WORKSHOP IN AGRICULTURE LIMA 2019;conceptos básicos de agricultura, introducción a R y análisis exploratorio Y procesamientos de datos en agricultura.;Basic concepts of agriculture, introduction to R and exploratory analysis AND data processing in agriculture.;Este es el repositorio del curso de análisis de datos realizado en la ciudad de Lima en el mes de noviembre del 2019. Este curso se basó en tres temáticas. La primera conceptos básicos de agricultura, la segunda introducción a R y análisis exploratorio y la tercera procesamientos de datos en agricultura.;This is the repository of the data analysis course held in the city of Lima in November 2019. This course was based on three themes. The first basic concepts of agriculture, the second introduction to R and exploratory analysis and the third data processing in agriculture.;Herramienta ;;https://github.com/CIAT-DAPA/Taller_Lima_2019;FEB 16 021
14;SELECCIÓN DE FUNCIONES PARA MODELOS DE APRENDIZAJE;FEATURE SELECTION FOR LEARNING MODELS;An example for maiz, in the locality of Chiapas;An example of corn, in the town of Chiapas;;;Herramienta ;;https://github.com/CIAT-DAPA/aeps_Enhanced_feature_selection_Cimmyt_2018;dec 12 2018
15;INDICADORES CLIMATICOS;CLIMATE INDICATORS;Generar indicadores climáticos para eventos de cosecha;Generate climatic indicators for harvest events;;;Herramienta ;;https://github.com/CIAT-DAPA/aeps_Indicadores-climaticos;oct 11 2018
16;VINCULACIÓN DE ESTACIONES CLIMATICAS A UNIDADES DE MANEJO ;LINKING CLIMATE STATIONS TO MANAGEMENT UNITS ;Se pretende asociar series de datos climáticos a periodos de cosecha de cultivos que van desde siembra a recolección. La salida será un archivo .RDATA.;It is intended to associate series of climatic data with harvest periods of crops that go from sowing to harvesting. The output will be a . RDATA file.;;;Herramienta;;https://github.com/CIAT-DAPA/aeps_Vinculacion_estaciones_lotes;MAR 28 2017
17;SENSORES BOVINOS;BOVINE SENSORS;Manual para el manejo de datos de sensores de movimiento y de temperatura timpánica en bovinos;Manual for handling data from motion sensors and tympanic temperature in bovines;Cuantificación de los impactos del clima en sistemas bovinos lecheros en el trópico bajo, a través de minera de datos y modelos, liderado por la Universidad Nacional de Colombia, junto al equipo bajo el programa de Climate, Change, Agriculture and Food Security CCAFS.;Quantification of climate impacts on dairy cattle systems in the low tropics, through data mining and models, led by the National University of Colombia, together with our team under the CCAFS Climate, Change, Agriculture and Food Security program.;Herramienta ;;https://github.com/CIAT-DAPA/sensoresbovinos;FEB 7 2021
18;VERIFICACIÓN DE COORDENADAS;COORDINATE VERIFICATION;Revisión y depuración de coordenadas;Coordinate review and debugging;El Script permite corroborar una lista de coordenadas geográficas de sitios según su ubicación política esperada y real. Para ello es necesario un mapa de división geográfica en formato shape y una base de datos con coordenadas, departamentos y municipio. Las salidas son un archivo en kmz y hoja de cálculo en csv que permitirán identificar inconsistencias en los datos. ;The Script allows verifying a list of geographic coordinates of sites according to their expected and actual political location. For this, a map of geographical division in shape format and a database with coordinates, departments, and municipality is necessary. The outputs are a file in kmz and a spreadsheet in CSV that will allow identifying inconsistencies in the data.;Herramienta ;;https://github.com/CIAT-DAPA/aeps_Verificacion-de-coordenadas;oct 11 2018
