#;title_es;title_en;description_es;description_en;link;link_seeMore;fecha
1;Proyecto de impacto: Digitalización de la agircultura de pequeña escala. Avances.;Impact project: Digitization of small-scale agriculture. Progress.;A la fecha se han realizado una serie de actividades que han permitido mostrar un importante avance en el desarrollo de un sensor de humedad de suelo, encapsulado, de bajo costo que brinda alta usabilidad adaptado para pequeños y medianos productores por parte del Proyecto Fontagro “Digitalización de la agricultura a pequeña escala”.;To date, a series of activities have been carried out that have allowed to show an important progress in the development of a soil moisture sensor, encapsulated, low cost that provides high usability adapted for small and medium producers by the Fontagro Proyect “Digitalization of agriculture at small scale”.;https://www.youtube.com/embed/yAgI9Fealgg;https://youtu.be/yAgI9Fealgg;2022
2;Transformación digital en sistemas agroaliementarios. VIDEO APC Colombia.;Digital transformation in agri-food systems. VIDEO APC Colombia.;El equipo de “transformación digital en sistemas agroalimentarios” hace parte del portafolio de buenas prácticas APC Colombia.;The  team “digital transformation in agri-food systems” is part of the APC Colombia portfolio of good practices.;https://www.youtube.com/embed/kRjAwh4mo7Y;https://www.youtube.com/watch?v=kRjAwh4mo7Y;2022
3;Proyecto de impacto: Boyacá se adapta al cambio climático.;Impact project: Boyacá adapts to climate change.;El equipo de Transformación digital en sistemas agroalimentarios es un aliado estratégico del proyecto Boyacá se adapta y con sus aportes en investigación y analítica de datos complementan el enfoque objetivo del proyecto que es centrarse en la Agricultura Sostenible Adaptada al Clima, brindando a su vez empoderamiento y capacitación a los demás ejecutores del proyecto en temas de agricultura digital.;The Digital Transformation in Agrifood Systems team is a strategic ally of the Boyacá adapts project and with its contributions in research and data analytics they complement the objective approach of the project, which is to focus on Climate-Adapted Sustainable Agriculture.;https://www.youtube.com/embed/5DRgJein4VE;https://youtu.be/5DRgJein4VE;2022
4;Proyecto de impacto: Prueba prototipo sensor FONTAGRO;Impact project: FONTAGRO sensor prototype test;En el marco del proyecto “digitalización de la agricultura a pequeña escala” se ejecuta una primera fase de prueba de los sensores prototipos en una de las zonas de interés del proyecto: Vereda, Los cerrillos cauca.;Within the framework of the “digitalization of small-scale agriculture” project, a first test phase of the prototype sensors is carried out in one of the project's areas of interest: Vereda, Los cerrillos cauca.;https://www.youtube.com/embed/S216kU-BHVw;https://www.youtube.com/watch?v=S216kU-BHVw;2022
5;EL CAMPO INNOVA CON LA TRANSFORMACIÓN DIGITAL DE LA EXTENSIÓN RURAL;EL CAMPO INNOVA WITH THE DIGITAL TRANSFORMATION OF RURAL EXTENSION;Una emisión del Ministerio de Agricultura y Desarrollo Rural MADR en el marco del proyecto #ElCampoInnova en la que Daniel Jiménez, PhD de la  transformación digital de la extensión rural.;Una emisión del Ministerio de Agricultura y Desarrollo Rural MADR en el marco del proyecto #ElCampoInnova en la que Daniel Jiménez, PhD de la  transformación digital de la extensión rural.;https://www.youtube.com/embed/Jnlil1KMaag;https://youtu.be/Jnlil1KMaag;2021
6;Oportunidades y desafíos para el Ingeniero Agrónomo del futuro | Dr. Daniel Jiménez;Opportunities and challenges for the Agricultural Engineer of the future | Dr. Daniel Jiménez;Conferencia Magistral por Daniel Jiménez Líder de comunidad de práctica Agronomía guiada por los datos del CGIAR.;Keynote Lecture by Daniel Jiménez Leader of a community of practice Agronomy guided by CGIAR data;https://www.youtube.com/embed/bkhtXQxpDGg;https://youtu.be/bkhtXQxpDGg;2020
7;El extensionista agrícola del futuro - Sesión de la Convención de la CoP de 2020;Extension Agent of the Future - 2020 CoP Convention session;Webinar: En un mundo cada vez más digital con grandes desafíos para el sector agroalimentario (incluido COVID-19), ¿pueden los extensionistas ayudar a salvar el planeta? Esta sesión es una aventura a través de una época en la que definimos el futuro de la extensión agrícola mucho más allá de la producción agrícola sostenible.;Webinar: In an increasingly digital world with great challenges for the agrifood sector (including COVID-19), can extensionists help save the planet? This session is an adventure through time where we define the future of agricultural extension far beyond sustainable crop production. ;https://www.youtube.com/embed/7PczgwHWYyE;https://youtu.be/7PczgwHWYyE;2020
8;Seminario web: Habilitación de la transformación de la agricultura basada en datos;Webinar - Enabling Data-Driven Transformation of Agriculture;Este seminario web de la comunidad de práctica de gestión de información y datos abordó las capacidades de datos críticas para que una organización agrícola tenga éxito en este nuevo panorama digital, incluida la calidad de los datos, la accesibilidad, la interoperabilidad, la ética y la gestión responsable de los datos.;This Information and Data Management Community of Practice webinar addressed the data capabilities critical for an agricultural organization to be successful in this new digital landscape, including data quality, accessibility, interoperability, ethics and responsible data management. ;https://www.youtube.com/embed/1FE7Z20A0fg;https://youtu.be/1FE7Z20A0fg;2020
9;Daniel Jimenez‐ Primer Panel Agrotech 2019;Daniel Jimenez‐ First Agrotech Panel 2019;Conferencia dictada por Daniel Jiménez: “hacia una agricultura digital climáticamente inteigente, sostenible adaptada al clima. Con temas principales de productividad, adaptación, mitigación y el uso de las TICS como clave para el desarrollo sostenible.”;Lecture by Daniel Jiménez: “towards a climate-smart, sustainable digital agriculture adapted to the climate. With main issues of productivity, adaptation, mitigation and the use of ICTs as key to sustainable development.”;https://www.youtube.com/embed/Rq7n8roB1MM;https://youtu.be/Rq7n8roB1MM;2019
10;Valor de los datos climáticos para los agricultores;Value of climate data for farmers;USAID ha ayudado a aprovechar el potencial de Big Data y las tecnologías de la información modernas para brindar a los agricultores información confiable sobre qué, dónde y cuándo plantar.;USAID has helped harness the potential of Big Data and modern information technologies to give farmers reliable information about what, where and when to plant.;https://player.vimeo.com/video/219533655;https://vimeo.com/219533655;2017
