#;title_es;title_en;description_es;description_en;image;repository_link;version;date;link
1;AEPS 2.0;AEPS 2.0;herramientas de código abierto que ayudan a las organizaciones a recopilar, almacenar, analizar y visualizar información sobre eventos productivos de cultivos;Open source tools that help organizations collect, store, analyze and visualize information on crop production events;;https://aeps-platform-docs.readthedocs.io/en/latest/index.html;;;
2;PATRONES CLIMÁTICOS AGRUPADOS;CLUSTERING CLIMATE PATTERNS;Análisis y agrupación de series de tiempo climáticas multivariadas para cultivos de ciclo corto, utilizando la distiancia dtw.;Analysis and grouping of multivariate climatic time series for short cycle crops, using the distance dtw.;https://rpubs.com/hdorado/228010;https://github.com/CIAT-DAPA/aeps_CLUSTERING_PATRONES_CLIMA;https://rpubs.com/hdorado/228010;https://rpubs.com/hdorado/228010;https://rpubs.com/hdorado/228010
3;FUNCIÓN PARA APRENDER MODELOS;FEATURE FOR LEARNING MODELS;Un ejemplo de maíz para la localidad de Chiapas;An example for maiz, in the locality of Chiapas;;https://github.com/CIAT-DAPA/aeps_Enhanced_feature_selection_Cimmyt_2018;;;
4;GEE-WEATHER;GEE-WEATHER;Disponer de series históricas de clima ayuda a explicar el desempeño productivo de los cultivos;Having historical weather series helps to explain the productive performance of crops;;https://github.com/CIAT-DAPA/aeps_gee_NOAA;;;
5;INDICADORES CLIMÁTICOS;CLIMATE INDICATORS;Generar indicadores climáticos para eventos de cosecha;Generate climatic indicators for harvest events;;https://github.com/CIAT-DAPA/aeps_Indicadores-climaticos;;;
6;CARACTERISTICAS RASTA;RASTA FEATURES;Permite el cálculo de las propiedades inferidas del rasta, incluidas en una de las secciones de este manual;Allows the calculation of the inferred properties of the rasta, included in one of the sections of this manual;mailto:h.a.dorado@cgiar.org https://cgspace.cgiar.org/handle/10568/69682;;mailto:h.a.dorado@cgiar.org https://cgspace.cgiar.org/handle/10568/69682;mailto:h.a.dorado@cgiar.org https://cgspace.cgiar.org/handle/10568/69682;mailto:h.a.dorado@cgiar.org https://cgspace.cgiar.org/handle/10568/69682
7;PLATAFORMA DE AUTENTICACIÓN AEPS;AEPS PLATFORM AUTH;;;;https://github.com/CIAT-DAPA/aeps_platform_api_auth;;;
8;SEGUIMIENTO DE CULTIVOS POR SATÉLITE;CROP MONITORING VIA SATELLITE;;;;https://github.com/CIAT-DAPA/aeps_platform_crop_satellite-based_monitoring;;;
9;PLATAFORMA EN DOCKER;DOCKER PLATFORM;;;;https://github.com/CIAT-DAPA/aeps_platform_docker;;;
10;PLATAFORMA EN DOCS;DOCS PLATFORMS;;;;https://github.com/CIAT-DAPA/aeps_platform_docs;;;
11;PLATAFORMA EN FORMS;FORMS PLATFORMS;;;;https://github.com/CIAT-DAPA/aeps_platform_forms;;;
12;VISUALIZACIÓN DE PLATAFORMAS;VISUALIZATION PLATFORMS;;;;https://github.com/CIAT-DAPA/aeps_platform_visualizations;;;
13;PROYECTO AEPS;AEPS PROYECT;;;;https://github.com/CIAT-DAPA/aeps_project-aeps;;;
14;MÉTODOS DE REGRESIÓN AEPS;REGRESSION METHODS AEPS;;;;https://github.com/CIAT-DAPA/aeps_Regression-Methods-AEPS;;;
15;SIGATOKA;SIGATOKA;;;;https://github.com/CIAT-DAPA/aeps_Sigatoka;;;
16;TNC HONDURAS;TNC HONDURAS;Ejemplo de raster;Example de raster;;https://github.com/CIAT-DAPA/aeps_tnc_honduras;;;
17;COMPROBACIÓN DE COORDENADAS;CHECKING OF COORDINATES;Revisión y depuración de coordenadas;Coordinate review and debugging;;https://github.com/CIAT-DAPA/aeps_Verificacion-de-coordenadas;;;
18;LOTES DE ESTACIONES DE ENLACE;LINKING STATIONS LOTS;Se pretende asociar series de datos climáticos a periodos de cosecha de cultivos que van desde siembra a recolección. La salida será un archivo .RDATA.;It is intended to associate series of climatic data with harvest periods of crops that go from sowing to harvesting. The output will be a .RDATA file.;;https://github.com/CIAT-DAPA/aeps_Vinculacion_estaciones_lotes;;;
19;SENSORES BOVINOS;BOVINE SENSORS;Manual para el manejo de datos de sensores de movimiento y de temperatura timpónica en bovinos;Manual for handling data from motion sensors and tympanic temperature in cattle;;https://github.com/CIAT-DAPA/sensoresbovinos;;;
20;Taller de Minería de Datos en la Agricultura Lima 2019;Data Mining in Agriculture Workshop Lima 2019;Conceptos básicos de agricultura, introducción a R y análisis exploratorio Y procesamientos de datos en agricultura.;Basic concepts of agriculture, introduction to R and exploratory analysis AND data processing in agriculture.;;https://github.com/CIAT-DAPA/Taller_Lima_2019;;;
