#;title_es;title_en;description_es;description_en;link ;fecha;color
6;GANADOR DEL INNOVATIVE APPLICATIONS IN ANALYTICS AWARD (IAAA);WINNER OF THE INNOVATIVE APPLICATIONS IN ANALYTICS AWARD (IAAA);Sus herramientas ayudan a los agricultores a aumentar la productividad, utilizar prácticas más sostenibles y acceder a los mercados, a traves de esto encabezaron las ofertas de empresas tecnológicas internacionales y universidades con proyectos aplicados a diversos campos.;tools that helped farmers to increase productivity, use more sustainable practices and access markets, through this they led the offers of international technology companies and universities with projects applied to various fields.;https://blog.ciat.cgiar.org/international-analytics-award-goes-to-cgiar-centers-for-sustainable-agriculture-tools/;2020;#f9dc19
7;TALLER DE CARACTERIZACIÓN DEL ESTADO ACTUAL DE LAS TECNOLOGÍAS DIGITALES A LO LARGO DE LAS CADENAS PRODUCTIVAS (AGTECH) EN ARGENTINA;WORKSHOP ON CHARACTERIZING THE CURRENT STATE OF DIGITAL TECHNOLOGIES ALONG THE PRODUCTION CHAINS (AGTECH) IN ARGENTINA;Sobre la base del éxito de los Perfiles de países de agricultura climáticamente inteligente, el CIAT, junto con el Banco Mundial y la FAO, lideraron una iniciativa para crear perfiles para la agricultura digital, comenzando con Argentina, Granada, Kenia, Turquía y Vietnam.;Building on the success of the Climate Smart Agriculture Country Profiles, CIAT, together with the World Bank and FAO, led an initiative to create profiles for digital agriculture, starting with Argentina, Grenada, Kenya, Turkey and Vietnam.;https://blog.ciat.cgiar.org/ciat-world-bank-and-partners-announce-digital-agriculture-country-profiles-initiative/;2019;#ff5f24
3;FOOD TANK: UNA NUEVA AGRICULTURA GLOBAL: UTILIZAR GRANDES DATOS PARA UNIR A LOS AGRICULTORES;FOOD TANK: A NEW GLOBAL AGRICULTURE: USING BIG DATA TO BRING FARMERS TOGETHER;La plataforma CGIAR para Big Data en la agricultura está ayudando a facilitar esta nueva relación entre los agricultores y el mundo digital. Utilizando las herramientas emergentes de Big Data, la Plataforma CGIAR está desarrollando enfoques para resolver problemas complejos en la agricultura, especialmente la agricultura a pequeña escala en el mundo en desarrollo.;The CGIAR Platform for Big Data in Agriculture Is helping to facilitate this new relationship between farmers and the digital world. Using the emerging tools of Big Data, the CGIAR Platform is developing approaches for solving complex problems in agriculture, especially smallholder farming in the developing world;https://foodtank.com/news/2019/04/a-new-global-agriculture-using-big-data-to-bring-farmers-together/;2019;#7ed957
8;GANADOR DEL SYNGENTA CROP CHALLENGE EN ANALYTICS;WINNER OF THE SYNGENTA CROP CHALLENGE IN ANALYTICS;"Acerca del poryecto ""Acelerar los esquemas de mejoramiento de híbridos de maíz mediante el aprendizaje automático"", logran "" representar el tipo de pensamiento analítico que puede permitir la agricultura sostenible del futuro"", dijo Dan Dyer, jefe de desarrollo de productos de semillas de Syngenta y juez de Crop Challenge.";"About the project ""Accelerating Corn Hybrid Breeding Schemes by Machine Learning"" manages to ""represent the kind of analytical thinking that can enable the sustainable agriculture of the future,"" said Dan Dyer, head of seed product development at Syngenta and Crop Challenge Judge.";https://www.syngenta-us.com/thrive/news/2018-crop-challenge-winners.html;2018;#7ed957
1;TIC PARA PEQUEÑOS AGRICULTORES: UN ENFOQUE CAMBIADOR PARA LA AGRICULTURA CLIMÁTICA INTELIGENTE EN AMÉRICA LATINA | COLOMBIA Y HONDURAS;ICTS FOR SMALL-SCALE FARMERS: A GAME CHANGING APPROACH TO CLIMATE SMART AGRICULTURE IN LATIN AMERICA | COLOMBIA AND HONDURAS;Una asociación entre el Centro Internacional de Agricultura Tropical, el CGIAR Research Programa sobre Clima, Agricultura y Seguridad Alimentaria y más de 10 socios, incluido el Ministerio de Agricultura y Desarrollo Rural de Colombia y la Secretaría de Agricultura y Ganadería han desarrollado un conjunto de herramientas aplicaciones TIC para ayudar a los agricultores en Colombia y Honduras toman decisiones climáticamente inteligentes.;A partnership between the International Center for Tropical Agriculture, the CGIAR Research Program on Climate, Agriculture and Food Security and more than 10 partners including the Colombian Ministry of Agriculture and Rural Development and the Honduran Secretariat of Agriculture and Livestock have developed a suite of ICT tools and applications to help farmers in Colombia and Honduras make climate-smart decisions.;https://cop23.unfccc.int/climate-action/momentum-for-change/ict-solutions/icts-for-small-scale-farmers-a-game-changing-approach-to-climate-smart-agriculture-in-latin-america;2018;#ff5f24
4;PREMIO “MOMENTUM FOR CHANGE” ;AWARD “MOMENTUM FOR CHANGE” ;El equipo investigador desarrolló una plataforma web que proporciona recomendaciones sobre la fecha en que se deben sembrar los cultivos de arroz o maíz en 30 municipios de Colombia, para obtener el mejor rendimiento. Su objetivo es apoyar a 1,5 millones de agricultores colombianos.;The research team developed a web platform that provides recommendations on the date when rice or corn crops should be sown in 30 municipalities in Colombia, to obtain the best performance. Its objective is to support 1.5 million Colombian farmers;https://www.eltiempo.com/colombia/cali/onu-otorga-galardon-a-egresados-de-universidad-nacional-de-palmira-248620;2018;#ff5f24
5;FOOD TANK: INTELIGENCIA AGRÍCOLA: LO QUE LA IA PUEDE HACER POR LOS PEQUEÑOS AGRICULTORES;FOOD TANK: AGRICULTURAL INTELLIGENCE: WHAT AI CAN DO FOR SMALLHOLDER FARMERS;Para el equipo detrás de la Plataforma CGIAR para Big Data en Agricultura, la agricultura es la próxima frontera para el uso de inteligencia artificial (IA) para resolver problemas complejos de manera eficiente. El equipo está utilizando herramientas de Big Data para crear sistemas de inteligencia artificial que puedan predecir los resultados potenciales de escenarios futuros para los agricultores.;For the team behind the CGIAR Platform for Big Data in Agriculture, farming is the next frontier for using artificial intelligence (AI) to efficiently solve complex problems. The team is using Big Data tools to create AI systems that can predict the potential outcomes of future scenarios for farmers. ;https://foodtank.com/news/2018/10/agricultural-intelligence-what-ai-can-do-for-smallholder-farmers/#:~:text=%E2%80%9COne%20way%20to%20use%20these,for%20Big%20Data%20in%20Agriculture.;2018;#f9dc19
9;OPEN CLIMATE - GODAN  WEB SERIE DOCUMENTAL - EPISODIO 4;OPEN CLIMATE - GODAN DOCUMENTARY WEB SERIES - EPISODE 4;Los rendimientos del cultivo de arroz han disminuido en los últimos años en Colombia y se sospecha que el cambio climático es la causa. Agricultores, productores y científicos ahora se están uniendo para abrir conjuntos de datos agrícolas para mejorar el problema.;Rice crop yields have declined in recent years in Colombia and climate change is suspected to be the cause. Farmers, producers, and scientists are now coming together to open up agricultural data sets to improve the problem;https://www.godan.info/news/open-climate-godan-documentary-web-series-episode-4;2017;#ff5f24
2;ABC NEWS: INVESTIGADORES LATINOAMERICANOS QUE AYUDAN A LOS AGRICULTORES A COMBATIR GLOBALMENTE EL CAMBIO CLIMÁTICO CON GRANDES DATOS;ABC NEWS: LATIN AMERICAN RESEARCHERS HELPING FARMERS GLOBALLY COMBAT CLIMATECHANGE WITH BIG DATA;Investigadores latinoamericanos recibieron un prestigioso premio de las charlas climáticas globales de la COP en Alemania por sus esfuerzos en el uso de datos para ayudar a impulsar los rendimientos de los agricultores y combatir el cambio climático;Latin American researchers received a prestigious award from the COP global climate talks in Germany for their efforts using data to help boost farmer yields and battle climate change;https://www.abc.net.au/news/rural/2017-11-16/big-data-farm-award-helping-to-tackle-climate-change/9156844;2017;#7ed957
10;PUBLICACIÓN EN EL WORLD BANK, EXTRACCIÓN DE MACRODATOS PARA UNA AGRICULTURA CLIMÁTICAMENTE INTELIGENTE;PUBLICATION IN THE WORLD BANK, EXTRACTION OF MACRODATES FOR A CLIMATE-INTELLIGENT AGRICULTURE;Comparando datos a largo plazo sobre cosechas y clima, para identificar secuencias climáticas favorables o desfavorables para el cultivo en áreas específicas. Al compararlos con los pronósticos, los agricultores pueden decir qué y cuándo plantar para las condiciones anticipadas.;Comparing long-term data on crops and climate, to identify favorable or unfavorable climatic sequences for cultivation in specific areas. By comparing them to forecasts, farmers can tell what and when to plant for anticipated conditions.;https://pubdocs.worldbank.org/en/791961475349840153/BigData-Publication-e-version-FINAL.pdf;2016;#7ed957
