#,Nombre_ESP,Nombre_ING,Descripción_ES,Descripción_ING,link ,fecha
1,GANADOR DEL INNOVATIVE APPLICATIONS IN ANALYTICS AWARD (IAAA),WINNER OF THE INNOVATIVE APPLICATIONS IN ANALYTICS AWARD (IAAA),"Sus herramientas ayudan a los agricultores a aumentar la productividad, utilizar prácticas más sostenibles y acceder a los mercados, a traves de esto encabezaron las ofertas de empresas tecnológicas internacionales y universidades con proyectos aplicados a diversos campos.","tools that helped farmers to increase productivity, use more sustainable practices and access markets, through this they led the offers of international technology companies and universities with projects applied to various fields.",https://blog.ciat.cgiar.org/international-analytics-award-goes-to-cgiar-centers-for-sustainable-agriculture-tools/,2020
2,TALLER DE CARACTERIZACIÓN DEL ESTADO ACTUAL DE LAS TECNOLOGÍAS DIGITALES A LO LARGO DE LAS CADENAS PRODUCTIVAS (AGTECH) EN ARGENTINA,WORKSHOP ON CHARACTERIZING THE CURRENT STATE OF DIGITAL TECHNOLOGIES ALONG THE PRODUCTION CHAINS (AGTECH) IN ARGENTINA,"Sobre la base del éxito de los Perfiles de países de agricultura climáticamente inteligente, el CIAT, junto con el Banco Mundial y la FAO, lideraron una iniciativa para crear perfiles para la agricultura digital, comenzando con Argentina, Granada, Kenia, Turquía y Vietnam.","Building on the success of the Climate Smart Agriculture Country Profiles, CIAT, together with the World Bank and FAO, led an initiative to create profiles for digital agriculture, starting with Argentina, Grenada, Kenya, Turkey and Vietnam.",https://blog.ciat.cgiar.org/ciat-world-bank-and-partners-announce-digital-agriculture-country-profiles-initiative/,2019
3,GANADOR DEL SYNGENTA CROP CHALLENGE EN ANALYTICS,WINNER OF THE SYNGENTA CROP CHALLENGE IN ANALYTICS,"Acerca del poryecto ""Acelerar los esquemas de mejoramiento de híbridos de maíz mediante el aprendizaje automático"", logran "" representar el tipo de pensamiento analítico que puede permitir la agricultura sostenible del futuro"", dijo Dan Dyer, jefe de desarrollo de productos de semillas de Syngenta y juez de Crop Challenge.","About the project ""Accelerating Corn Hybrid Breeding Schemes by Machine Learning"" manages to ""represent the kind of analytical thinking that can enable the sustainable agriculture of the future,"" said Dan Dyer, head of seed product development at Syngenta and Crop Challenge Judge.",https://www.syngenta-us.com/thrive/news/2018-crop-challenge-winners.html,2018
4,OPEN CLIMATE - GODAN  WEB SERIE DOCUMENTAL - EPISODIO 4,OPEN CLIMATE - GODAN DOCUMENTARY WEB SERIES - EPISODE 4,"Los rendimientos del cultivo de arroz han disminuido en los últimos años en Colombia y se sospecha que el cambio climático es la causa. Agricultores, productores y científicos ahora se están uniendo para abrir conjuntos de datos agrícolas para mejorar el problema.","Rice crop yields have declined in recent years in Colombia and climate change is suspected to be the cause. Farmers, producers, and scientists are now coming together to open up agricultural data sets to improve the problem",https://www.godan.info/news/open-climate-godan-documentary-web-series-episode-4,2017
5,"Publicación en el World Bank, Extracción de macrodatos para una agricultura climáticamente inteligente","PUBLICATION IN THE WORLD BANK, EXTRACTION OF MACRODATES FOR A CLIMATE-INTELLIGENT AGRICULTURE","Comparando datos a largo plazo sobre cosechas y clima, para identificar secuencias climáticas favorables o desfavorables para el cultivo en áreas específicas. Al compararlos con los pronósticos, los agricultores pueden decir qué y cuándo plantar para las condiciones anticipadas.","Comparing long-term data on crops and climate, to identify favorable or unfavorable climatic sequences for cultivation in specific areas. By comparing them to forecasts, farmers can tell what and when to plant for anticipated conditions.",https://pubdocs.worldbank.org/en/791961475349840153/BigData-Publication-e-version-FINAL.pdf,2016
6,PROYECTO EN ASOSICACIÓN CON ASOHOFRUCOL SOBRE CULTIVOS FRUTALES EN COLOMBIA,PROJECT IN ASOSICATION WITH ASOHOFRUCOL ON FRUIT CROPS IN COLOMBIA,Permitió la creación de una plataforma informática para el gremio y se capacitó a dos funcionarios de la asociación. Actualmente más de 4000 agricultores y 80 técnicos se benefician con esta herramienta de uso nacional y regional.,It allowed the creation of a computer platform for the union and two officials of the association were trained. Currently more than 4000 farmers and 80 technicians benefit from this tool for national and regional use.,https://blog.ciat.cgiar.org/es/el-equipo-que-esta-haciendo-la-revolucion-agricola-con-big-data/,2016
7,"CONVENIO ENTRE LA SECRETARÍA DE AGRICULTURA Y GANADERÍA SAG, Y EL CIAT, LIDERADO POR LA UNIDAD DE PLANEAMIENTO Y EVALUACIÓN DE LA GESTIÓN (UPEG)","AGREEMENT BETWEEN THE SECRETARIAT OF AGRICULTURE AND LIVESTOCK SAG, AND CIAT, LEADED BY THE MANAGEMENT PLANNING AND EVALUATION UNIT (UPEG)","La colaboración será para mejorar los cultivos como café, cacao, frijol, arroz, maíz, yuca y vegetales orientales de los agricultores Hondureños a traves de la transmisión de tecnología.","The collaboration will be to improve crops such as coffee, cocoa, beans, rice, corn, cassava and oriental vegetables of Honduran farmers through the transmission of technology.",http://www.sag.gob.hn/sala-de-prensa/noticias/ano-2016/enero-2016/con-transferencia-de-tecnologia-apoyaran-agricultores-hondurenos-/,2016
8,CONVENIO “CLIMA Y SECTOR AGROPECUARIO COLOMBIANO”,"AGREEMENT ""CLIMATE AND COLOMBIAN AGRICULTURAL SECTOR""","Fortalecimiento de las capacidades de los gremios socios en facilitación de procesos participativos con agricultores, y en comunicación.","Strengthening the capacities of the partner unions in facilitating participatory processes with farmers, and in communication.
",http://ciatblogs.cgiar.org/knowledgemanagement/los-gremios-centro-gc-convenio/,2015
9,INVESTIGACIÓN DE BIG DATA EN CULTIVO DE ARROZ AL NORTE DE COLOMBIA,BIG DATA RESEARCH IN RICE CULTIVATION IN NORTHERN COLOMBIA,"En conjunto con Fedearroz evitó grandes pérdidas económicas para cerca de 170 productores de arroz en 1.800 hectáreas las cuales se salvaran de la sequía en el norte de Colombia. 
El proyecto fue reconocido por la ONU como una de las mejores ideas para fortalecer la acción climática en el mundo.","Together with Fedearroz, it avoided great economic losses for about 170 rice producers on 1,800 hectares, which were saved from the drought in northern Colombia.
The project was recognized by the UN as one of the best ideas to strengthen climate action in the world.",https://www.elespectador.com/noticias/actualidad/onu-premia-proyecto-que-ayudo-a-salvar-cultivos-de-arroz-en-colombia/,2014
10,AESCE COMPARTIENDO EXPERIENCIAS,AESCE SHARING EXPERIENCES,"Buscaba que los productores colombianos dedicados a los cultivos de plátano, aguacate, mango y cítricos compartieran sus experiencias para disminuir la brecha productiva y mejorar la calidad de vida.","It was looking for Colombian producers dedicated to banana, avocado, mango and citrus crops to share their experiences to reduce the productivity gap and improve the quality of life.",https://www.youtube.com/user/AESCEColombia/videos?view=0&sort=da&flow=grid,2010
