#;title_es;title_en;description_es;description_en;text_es;text_en;type_es;type_en;repository_link;date
1;AEPS 2.0;AEPS 2.0;herramientas de código abierto que ayudan a las organizaciones a recopilar, almacenar, analizar y visualizar información sobre eventos productivos de cultivos;Open source tools that help organizations collect, store, analyze and visualize information on crop production events;La Plataforma de Agricultura Específica por Sitio (AEPS) es un conjunto de herramientas de código abierto que ayudan a las organizaciones a recopilar, almacenar, analizar y visualizar información sobre eventos;The Site-Specific Agriculture Platform (AEPS) is a set of open source tools that help organizations collect, store, analyze and visualize information on crop production events to support decision-making, under the;Herramienta;Tool;https://aeps-platform-docs.readthedocs.io/en/latest/index.html;2019
2;CLUSTERING DE PATRONES CLIMATICOS;CLUSTERING OF CLIMATE PATTERNS;Análisis y agrupación de series de tiempo climáticas multivariadas para cultivos de ciclo corto, utilizando la distiancia dtw.;Analysis and grouping of multivariate climatic time series for short cycle crops, using the distance dtw.;El script Procesamiento_Clima.R, contiene funciones que permiten: procesar, evaluar y agrupar patrones climáticos de eventos productivos de cultivos, teniendo en cuenta su correspondiente serie climática a nivel diario, desde la siembra hasta la cosecha. El propósito es identificar y agrupar periodos que tengan semejanzas en tendencias y características climáticas (homólogos), con el fin de determinar entre ellos diversas prácticas tales como: variedades sembradas o fertilizaciones aplicadas, que hayan tenido buenos resultados y sirvan de información relevante para tomar mejores decisiones en el momento en el que ocurra un patrón similar.";"The Processing_Climate.R script contains functions that allow: processing, evaluating and grouping climatic patterns of crop production events, taking into account their corresponding daily climatic series, from sowing to harvest. The purpose is to identify and group periods that have similarities in climatic trends and characteristics (homologous), in order to determine among them various practices such as: varieties sown or fertilizations applied, which have had good results and serve as relevant information to make better decisions when a similar pattern occurs";Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_CLUSTERING_PATRONES_CLIMA;11-Oct-18
3;SELECCIÓN DE FUNCIONES PARA MODELOS DE APRENDIZAJE;FEATURE SELECTION FOR LEARNING MODELS;An example for maiz, in the locality of Chiapas;An example of corn, in the town of Chiapas;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_Enhanced_feature_selection_Cimmyt_2018;dec 12 2018
4;GEE-WEATHER ;GEE-WEATHER ;Disponer de series históricas de clima ayuda a explicar el desempeño productivo de los cultivos;Consultation and download of meteorological data measured via remote sensing, by consulting the missions available in Google Earth Engine (GEE).;Disponer de series históricas de clima ayuda a explicar el desempeño productivo de los cultivos, ya que el adecuado desarrollo de las plantas depende de unas condiciones adecuadas en temperatura, precipitación, radiación solar entre otras variables climatológicas. Es así que es de interés por parte de los tomadores de decisión e investigadores contar con datos de clima, para comprender bajo qué circunstancias se está sembrando, en una región en específico.;Having historical series of climate helps to explain the productive performance of crops, since the adequate development of plants depends on adequate conditions in temperature, precipitation, solar radiation, among other climatological variables. Thus, it is of interest for decision makers and researchers to have climate data, to understand under what circumstances it is being sown, in a specific region.;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_gee_NOAA;feb 5 2021
5;INDICADORES CLIMATICOS;CLIMATE INDICATORS;Generar indicadores climáticos para eventos de cosecha;Generate climatic indicators for harvest events;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_Indicadores-climaticos;oct 11 2018
6;PROPIEDADES INFERIDAS DEL RASTA;INFERRED PROPERTIES OF RASTA; permite el cálculo de las propiedades inferidas del rasta, incluidas en una de las secciones de este manual;This Script allows the calculation of the inferred properties of the rasta; Este Script permite el cálculo de las propiedades inferidas del rasta, incluidas en una de las secciones de este manual, se debe tener en cuenta que para poder proceder con el código es necesario que estén completas las variables del rasta, y los encabezados deben coincidir exactamente con los encabezado de las base rasta_aguacate.csv que se muestra como ejemplo. Cualquier duda escribir a h.a.dorado@cgiar.org;This Script allows the calculation of the inferred properties of the rasta, included in one of the sections of this manual, It should be noted that in order to proceed with the code it is necessary that the rasta variables are complete, and the headers must exactly match the headers of the base rasta_aguacate.csv shown as an example. Any questions write to h.a.dorado@cgiar.org";Herramienta ;Tool;;Abr 6 2017
7;VERIFICACIÓN DE COORDENADAS;COORDINATE VERIFICATION;Revisión y depuración de coordenadas;Coordinate review and debugging;Este Script permite corroborar una lista de coordenadas geográficas de sitios según su ubicación política esperada y real. Para ello es necesario un mapa de división geográfica en formato shape y una base de datos con coordenadas, departamentos y municipio. Las salidas son un archivo en kmz y hoja de cálculo en csv que permitirán identificar inconsistencias en los datos.;This Script allows to verify a list of geographic coordinates of sites according to their expected and actual political location. To reach this a map of geographical division in shape format and a database with coordinates, departments and municipality is necessary. The outputs are a file in kmz and a spreadsheet in csv that will allow to identify inconsistencies in the data.;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_Verificacion-de-coordenadas;oct 11 2018
8;VINCULACIÓN DE ESTACIONES CLIMATICAS A UNIDADES DE MANEJO ;LINKING CLIMATE STATIONS TO MANAGEMENT UNITS ;Se pretende asociar series de datos climáticos a periodos de cosecha de cultivos que van desde siembra a recolección. La salida será un archivo .RDATA.;It is intended to associate series of climatic data with harvest periods of crops that go from sowing to harvesting. The output will be a . RDATA file.;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_Vinculacion_estaciones_lotes;MAR 28 2017
9;SENSORES BOVINOS;BOVINE SENSORS;Manual para el manejo de datos de sensores de movimiento y de temperatura timpánica en bovinos;Manual for handling data from motion sensors and tympanic temperature in bovines;Cuantificación de los impactos del clima en sistemas bovinos lecheros en el trópico bajo a través de minera de datos y modelos, liderado por la Universidad Nacional de Colombia, junto al grupos del grupo a agricultura digital de la Alianza Bioversity y CIAT, bajo el programa de Climate, Change, Agriculture and Food Security CCAFS.;Quantification of climate impacts on dairy cattle systems in the low tropics through data mining and models, led by the National University of Colombia, together with the groups of the digital agriculture group of the Bioversity Alliance and CIAT, under the program of Climate, Change, Agriculture and Food Security CCAFS.;Herramienta ;Tool;https://github.com/CIAT-DAPA/sensoresbovinos;FEB 7 2021
10;GEENSATELLITEAPP;GEENSATELLITEAPP;Monitoreo basado en satélites de cultivos de plataforma, este proyecto fue generado con la versión 9.1.7 de Angular CLI .;Platform crop satellite based monitoring, This project was generated with Angular CLI ;;;Herramienta ;Tool;https://github.com/CIAT-DAPA/aeps_platform_crop_satellite-based_monitoring;Oct 13 2020
