#;title_es;title_en;link;fecha
1;TRANSFORMANDO LA PRODUCCIÓN Y EL SUMINISTRO DE ALIMENTOS CON OR / ANALYTICS;TRANSFORMING FOOD PRODUCTION AND SUPPLY WITH OR/ANALYTICS;https://ifors.org/newsletter/ifors-news-march2021.pdf;2021
2;UN SISTEMA DE SUMINISTRO DE INFORMACIÓN PARA LA REDUCCIÓN DEL RIESGO CLIMÁTICO EN COLOMBIA. INFORMÁTICA Y ELECTRÓNICA EN AGRICULTURA.;A SYSTEM FOR THE PROVISION OF INFORMATION FOR CLIMATE RISK REDUCTION IN COLOMBIA. COMPUTERS AND ELECTRONICS IN AGRICULTURE.;https://www.sciencedirect.com/science/article/pii/S0168169919315832?via%3Dihub;2020
3;CONTENEDOR PARA LA CONSTRUCCIÓN DE MODELOS DE CLASIFICACIÓN UTILIZANDO COVERING ARRAYS;WRAPPER FOR BUILDING CLASSIFICATION MODELS USING COVERING ARRAYS;https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8853323;2019
4;UN ESQUEMA ESCALABLE PARA IMPLEMENTAR LA AGRICULTURA BASADA EN DATOS PARA PEQUEÑOS AGRICULTORES;A SCALABLE SCHEME TO IMPLEMENT DATA-DRIVEN AGRICULTURE FOR SMALL FARMERS;https://www.sciencedirect.com/science/article/pii/S2211912419300070?via%3Dihub;2019
5;LA AGRICULTURA BASADA EN DATOS DEMUESTRA UN TERRENO FERTIL PARA O.R.;DATA-DRIVEN FARMING PROVES FERTILE GROUND FOR O.R.;https://cgspace.cgiar.org/bitstream/handle/10568/92045/Data_Driven_Farming_ORMS4502.pdf?sequence=1&isAllowed=y;2018
6;LOS PEQUEÑOS AGRICULTORES TAMBIÉN NECESITAN ACCESO A LA AGRONOMÍA DE MACRODATOS;SMALLHOLDERS ALSO NEED ACCESS TO BIG DATA AGRONOMY;https://www.nature.com/articles/d41586-018-02566-1;2018
7;DE LA OBSERVACIÓN A LA INFORMACIÓN: COMPRENSIÓN BASADA EN DATOS DE LA VARIACIÓN DEL RENDIMIENTO EN LA EXPLOTACIÓN;FROM OBSERVATION TO INFORMATION: DATA-DRIVEN UNDERSTANDING OF FARM PERFORMANCE VARIATION;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0150015;2016
8;EVALUACIÓN DE LAS RELACIONES ENTRE EL CLIMA Y EL RENDIMIENTO EN EL ARROZ A ESCALA LOCAL UTILIZANDO ENFOQUES DE MINERÍA DE DATOS;ASSESSING THE RELATIONSHIPS BETWEEN CLIMATE AND YIELD IN RICE AT THE LOCAL SCALE USING DATA MINING APPROACHES;https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161620;2016
9;MEJORAR LOS PROCESOS DE TOMA DE DECISIONES DE LOS PEQUEÑOS AGRICULTORES EN CULTIVOS TROPICALES MEDIANTE MODELOS DE APRENDIZAJE MECÁNICO;ENHANCING DECISION-MAKING PROCESSES OF SMALL FARMERS IN TROPICAL CROPS BY MEANS OF MACHINE LEARNING MODELS;https://link.springer.com/chapter/10.1007/978-2-8178-0268-8_18;2012
10;INTERPRETACIÓN DE LA INFORMACIÓN DE PRODUCCIÓN COMERCIAL: UN ESTUDIO DE CASO DE LULO (SOLANUM QUITOENSE), UNA FRUTA ANDINA POCO INVESTIGADA;INTERPRETATION OF COMMERCIAL PRODUCTION INFORMATION: A CASE STUDY OF LULO (SOLANUM QUITOENSE), A LITTLE RESEARCHED ANDEAN FRUIT;https://www.sciencedirect.com/science/article/abs/pii/S0308521X10001411?via%3Dihub;2011
11;ANÁLISIS DE MODELOS DE PRODUCCIÓN DE MORA ANDINA (RUBUS GLAUCUS) OBTENIDOS MEDIANTE REDES NEURONALES ARTIFICIALES APROVECHANDO INFORMACIÓN RECOLECTADA POR PEQUEÑOS PRODUCTORES EN COLOMBIA Y DATOS METEOROLÓGICOS DISPONIBLES PÚBLICAMENTE;ANALYSIS OF PRODUCTION MODELS OF ANDEAN MORA (RUBUS GLAUCUS) OBTAINED THROUGH ARTIFICIAL NEURONAL NETWORKS TAKING ADVANTAGE OF INFORMATION COLLECTED BY SMALL PRODUCERS IN COLOMBIA AND PUBLICLY AVAILABLE METEOROLOGICAL DATA;https://www.sciencedirect.com/science/article/abs/pii/S0168169909001744?via%3Dihub;2009
12;UNA ENCUESTA DE MODELADO ARTIFICIAL BASADO EN REDES NEURALES EN AGROECOLOGÍA;A SURVEY OF ARTIFICIAL NEURAL NETWORK-BASED MODELING IN AGROECOLOGY;https://link.springer.com/chapter/10.1007/978-3-540-77465-5_13;2008
